,surface,year,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,winner_total_points,w_1stSv%,w_1stSvWin%,w_2ndSvWin%,w_SvGms,w_1stRcvWin%,w_2ndRcvWin%,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,loser_total_points,l_1stSv%,l_1stSvWin%,l_2ndSvWin%,l_SvGms,l_1stRcvWin%,l_2ndRcvWin%,points_percentage,1stSv%_difference,1stSvWin%_difference,2ndSvWin%_difference,ace%,bpFaced%,bpSaved%_difference
0,Carpet,2001,7.26,1.89,69.89,43.15,34.22,15.37,1.74,3.0,77.7,61.86,80.5,58.3,11.89,27.81,56.18,7.52,2.37,72.41,42.67,31.0,13.3,3.96,7.15,64.59,59.01,72.19,43.82,11.56,19.5,41.7,54.61,2.85,8.31,14.48,49.12,29.56,2.62
1,Carpet,2002,9.2,2.4,66.52,38.44,31.68,15.76,2.48,3.24,76.16,57.72,82.79,58.14,11.0,31.23,54.14,6.52,3.08,71.6,41.4,28.68,14.2,4.2,7.16,61.96,58.18,68.77,45.86,10.84,17.21,41.86,55.14,-0.46,14.02,12.28,58.52,31.15,17.88
2,Carpet,2003,6.35,2.81,74.54,45.04,35.19,16.38,3.15,4.38,80.04,60.33,78.26,56.0,11.65,27.97,52.88,6.12,2.85,73.23,40.35,29.19,15.58,2.62,5.54,67.73,55.18,72.03,47.12,11.46,21.74,44.0,54.17,5.15,6.23,8.88,50.92,44.15,24.63
3,Carpet,2004,7.68,2.0,67.25,41.0,32.04,15.5,2.32,3.11,75.96,60.48,78.42,60.3,10.93,29.69,54.72,5.64,3.0,71.04,39.61,28.0,14.61,3.36,6.29,62.32,56.21,70.31,45.28,10.86,21.58,39.7,54.93,4.27,8.11,15.02,57.66,33.09,21.18
4,Carpet,2005,10.08,2.0,71.96,46.04,36.96,13.79,3.08,4.12,78.92,65.03,81.83,55.72,11.88,29.48,54.28,7.12,2.96,72.46,43.75,31.29,13.0,4.38,7.71,65.5,60.27,70.52,45.72,11.62,18.17,44.28,54.65,4.76,11.31,10.0,58.6,34.83,17.95
5,Carpet,2006,7.04,1.83,69.17,43.09,33.65,13.87,2.65,3.96,77.74,62.27,79.91,54.9,11.3,34.1,56.75,4.78,2.3,73.0,45.3,30.52,12.26,4.04,7.61,64.43,62.35,65.9,43.25,11.3,20.09,45.1,54.68,-0.08,14.01,11.65,59.56,34.23,13.83
6,Clay,2001,4.0,2.08,78.26,45.39,32.15,18.1,4.76,6.95,88.57,58.58,72.07,56.56,12.2,39.25,57.47,3.16,3.32,82.4,46.28,28.47,15.6,6.76,11.75,72.09,56.24,60.75,42.53,12.1,27.93,43.44,55.18,2.34,11.32,14.02,54.98,37.09,11.47
7,Clay,2002,4.36,2.18,79.46,47.77,34.53,17.31,4.0,6.0,89.22,60.1,73.06,55.97,12.54,37.41,55.43,2.96,3.6,83.68,48.83,30.6,15.7,5.68,10.35,73.93,58.64,62.59,44.57,12.42,26.94,44.03,54.71,1.46,10.47,11.4,59.36,37.05,13.01
8,Clay,2003,4.65,3.02,79.45,48.34,34.24,16.89,4.12,6.39,88.82,60.25,72.32,55.34,12.5,39.06,57.13,3.56,3.51,82.84,47.9,29.75,15.4,5.7,10.7,73.48,57.92,60.94,42.87,12.45,27.68,44.66,54.87,2.33,11.38,12.47,55.08,37.48,11.75
9,Clay,2004,3.52,2.34,79.3,48.29,34.61,17.03,3.86,6.12,89.36,61.3,73.26,56.14,12.7,37.06,57.42,2.86,3.63,83.3,48.42,30.52,15.06,5.4,10.38,73.25,58.07,62.94,42.58,12.6,26.74,43.86,54.98,3.23,10.32,13.56,55.39,37.07,11.4
10,Clay,2005,2.5,2.09,76.68,49.18,33.99,15.06,3.75,6.07,86.86,63.93,71.11,56.12,12.16,42.0,59.1,2.74,2.85,79.92,47.58,28.4,13.71,5.19,10.51,69.75,59.64,58.0,40.9,12.11,28.89,43.88,55.59,4.3,13.11,15.22,47.53,36.74,13.36
11,Clay,2006,3.57,2.24,78.34,50.82,35.85,15.29,4.41,6.42,87.88,64.7,72.31,56.93,12.37,39.94,55.62,2.54,2.48,81.7,50.26,30.78,14.19,5.52,10.26,72.17,61.21,60.06,44.38,12.18,27.69,43.07,54.96,3.49,12.24,12.54,59.1,38.89,15.73
