,tourney_name,Era,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,winner_total_points,w_1stSv%,w_1stSvWin%,w_2ndSvWin%,w_SvGms,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,loser_total_points,l_1stSv%,l_1stSvWin%,l_2ndSvWin%,l_SvGms,points_difference,1stSv%_difference,1stSvWin%_difference,2ndSvWin%_difference,ace%,bpFaced%
0,Australian Open,2001-2005,9.76,3.06,101.96,59.98,45.91,23.01,4.13,6.38,116.31,59.38,77.16,55.62,16.54,7.12,4.59,109.87,64.2,42.1,20.38,6.96,12.71,95.52,58.32,64.29,43.6,16.52,20.79,1.06,12.86,12.02,57.8,33.38
1,Australian Open,2006-2010,9.27,2.54,100.76,63.17,47.86,20.96,4.11,6.16,115.51,63.22,76.78,57.14,16.48,6.93,3.81,107.75,64.44,41.66,19.41,6.6,12.31,93.01,59.68,63.2,43.75,16.32,22.5,3.54,13.58,13.4,57.16,33.05
2,Australian Open,2011-2015,9.34,2.36,94.94,59.36,46.31,20.04,3.53,5.21,112.02,62.77,78.9,57.47,15.91,6.46,3.66,104.35,64.22,41.61,17.07,6.79,12.38,87.27,61.41,63.6,41.37,15.6,24.75,1.36,15.29,16.1,59.04,29.3
3,Australian Open,2016-2020,12.14,2.9,105.05,68.05,53.31,21.17,3.74,5.32,119.97,64.62,79.42,58.64,17.55,9.25,4.06,113.35,71.27,48.53,19.34,6.85,11.63,98.44,62.53,67.17,45.33,17.04,21.53,2.09,12.24,13.31,57.08,31.12
4,Canada Masters,2001-2005,7.34,2.55,70.04,41.43,32.19,16.14,2.94,4.2,78.17,59.55,78.23,56.87,11.38,5.71,3.33,73.59,42.18,29.03,14.72,4.33,7.52,65.46,57.18,67.98,45.77,11.2,12.71,2.37,10.24,11.1,56.24,35.72
5,Canada Masters,2006-2010,6.33,2.26,71.79,43.94,33.9,15.52,3.36,4.68,79.62,61.45,77.86,57.1,11.5,5.08,2.57,74.64,43.89,29.58,14.87,4.25,7.53,66.82,58.66,66.72,47.58,11.32,12.8,2.79,11.14,9.52,54.97,38.34
6,Canada Masters,2011-2015,7.23,2.7,71.3,43.07,33.25,15.62,3.28,4.56,78.55,60.53,78.63,57.11,11.47,4.7,3.47,73.24,42.67,29.15,14.41,4.47,7.71,66,57.98,67.67,45.92,11.17,12.55,2.55,10.96,11.19,60.17,37.21
7,Canada Masters,2016-2020,7.72,2.92,71.22,44.13,34.29,15.04,3,4.31,78.69,62.21,78.77,56.61,11.51,5.35,3.29,73.37,43.68,30.23,13.77,3.82,7.05,65.9,59.22,68.8,45.58,11.25,12.79,3,9.97,11.04,59.16,37.83
8,Cincinnati Masters,2001-2005,7.75,2.62,68.94,41.36,32.65,16.01,2.51,3.48,77.78,59.66,80.08,59.41,11.26,6.74,3.67,73.13,41.52,29.63,14.38,4.25,7.32,64.29,56.52,70.05,44.72,11.09,13.49,3.14,10.04,14.7,53.66,32.1
9,Cincinnati Masters,2006-2010,7.55,2.07,68.58,42.27,33.41,15,2.37,3.42,76.32,62.01,80.04,57.39,11.3,5.65,2.77,71.46,41.39,29.08,14.48,3.56,6.43,63.73,57.88,69.98,47.55,11.01,12.59,4.14,10.06,9.85,57.12,34.68
