tourney_name,year,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,winner_total_points,w_1stSv%,w_1stSvWin%,w_2ndSvWin%,w_SvGms,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,loser_total_points,l_1stSv%,l_1stSvWin%,l_2ndSvWin%,l_SvGms,points_difference,1stSv%_difference,1stSvWin%_difference,2ndSvWin%_difference,ace%,bpFaced%
Australian Open,2001,8.03,3.67,100.59,61.38,47.13,21.56,3.9,6.1,115.92,61.63,77.7,56.13,16.31,8.67,5.05,108.67,61.26,40.69,20.74,7.08,12.85,93.33,56.59,65.67,43.43,16.41,22.590000000000003,5.04,12.03,12.7,48.08,32.19
Australian Open,2002,11.97,3.41,111.41,62.74,47.05,26.46,4.62,7.41,124.59,56.87,75.48,55.34,17.64,8.13,4.9,119.85,69.67,46.0,22.77,7.9,13.69,106.67,57.99,64.74,44.56,17.74,17.92,-1.12,10.74,10.78,59.55,35.12
Australian Open,2003,8.47,2.92,100.55,60.18,45.58,22.16,4.03,6.55,116.63,60.21,76.05,55.47,16.61,6.32,4.5,111.29,64.74,41.58,20.82,7.18,13.34,95.21,57.64,62.42,43.71,16.61,21.42,2.57,13.63,11.76,57.27,32.93
Australian Open,2004,10.59,2.23,95.31,55.62,43.87,21.87,3.97,5.46,108.1,58.81,79.39,55.53,15.62,5.38,3.9,99.67,61.15,40.13,17.18,5.67,10.95,86.87,61.04,64.33,42.69,15.33,21.22999999999999,-2.23,15.06,12.84,66.31,33.27
Australian Open,2005,10.51,2.87,101.95,62.51,47.87,21.56,4.49,6.67,117.62,61.85,77.52,56.56,16.62,6.92,4.31,110.95,65.77,42.23,20.54,7.33,13.08,95.28,58.69,62.77,45.17,16.54,22.340000000000003,3.16,14.75,11.39,60.3,33.77
Australian Open,2006,7.15,3.0,110.69,64.08,46.49,26.1,5.1,8.13,123.72,57.6,74.02,57.97,17.9,7.1,5.03,116.59,69.1,44.46,21.0,7.33,13.77,103.56,59.22,63.4,43.46,17.69,20.159999999999997,-1.62,10.62,14.51,50.18,37.12
Australian Open,2007,10.64,2.13,98.05,62.46,48.46,20.31,2.67,4.38,113.41,64.22,78.67,58.79,16.49,8.49,3.72,106.59,63.54,42.79,19.15,5.85,10.97,91.23,59.09,65.74,43.26,16.28,22.179999999999993,5.13,12.93,15.53,55.62,28.53
Australian Open,2008,9.0,2.38,95.67,62.0,47.44,18.1,4.18,5.97,109.74,65.98,77.17,53.36,15.38,5.64,2.92,100.13,61.33,38.85,17.08,5.85,11.49,86.05,61.89,61.73,42.37,15.26,23.689999999999998,4.09,15.44,10.99,61.48,34.19
Australian Open,2009,9.05,2.33,97.46,64.79,49.05,18.74,4.13,5.67,113.05,66.44,76.54,59.04,16.0,6.49,3.05,104.51,62.46,39.97,19.28,6.62,12.26,88.92,59.52,62.38,44.48,15.85,24.129999999999995,6.92,14.16,14.56,58.24,31.62
Australian Open,2010,11.28,2.36,103.13,64.28,49.49,21.59,5.05,7.05,117.23,62.61,77.33,57.07,17.05,7.54,4.08,108.64,67.33,44.18,18.31,7.03,12.51,94.54,61.61,64.15,43.4,16.46,22.689999999999998,1.0,13.18,13.67,59.94,36.04
Australian Open,2011,8.62,2.15,85.15,53.0,41.82,17.54,2.67,4.33,104.49,62.57,79.35,56.23,14.59,5.51,3.64,97.72,58.15,36.79,15.79,7.05,13.03,78.38,59.62,62.13,37.67,14.28,26.11,2.95,17.22,18.56,61.0,24.94
Australian Open,2012,7.71,2.53,95.5,59.63,45.24,20.13,3.87,5.87,113.53,62.47,77.25,56.39,15.79,5.71,3.87,105.89,65.55,41.34,16.39,6.42,12.61,87.87,61.7,61.44,39.89,15.68,25.659999999999997,0.77,15.81,16.5,57.45,31.76
Australian Open,2013,10.49,2.21,98.82,62.38,48.97,20.92,3.69,5.15,114.54,63.4,79.36,58.5,16.49,7.05,3.18,105.62,65.74,43.92,17.05,6.79,12.18,89.9,62.1,65.37,42.01,16.13,24.64,1.3,13.99,16.49,59.81,29.72
Australian Open,2014,8.61,2.53,92.08,57.5,46.05,20.0,2.39,3.66,110.32,62.8,81.19,59.16,15.63,6.5,3.55,103.89,64.34,41.84,17.79,6.66,11.55,85.66,62.01,64.92,43.9,15.47,24.659999999999997,0.79,16.27,15.26,56.98,24.06
Australian Open,2015,12.79,2.77,101.15,65.38,51.36,20.92,3.15,4.56,116.67,64.38,79.71,59.68,17.1,9.15,3.85,110.23,69.18,47.05,18.79,6.72,11.38,94.72,62.48,67.45,45.39,16.54,21.950000000000003,1.9,12.26,14.29,58.3,28.61
Australian Open,2016,10.69,2.69,94.64,59.59,47.18,20.59,3.0,4.33,111.72,62.98,80.3,59.44,16.41,6.9,4.0,104.26,64.1,42.95,17.36,6.56,11.41,87.18,61.14,66.23,42.42,15.79,24.539999999999992,1.84,14.07,17.02,60.77,27.51
Australian Open,2017,13.23,3.36,112.28,71.69,55.49,22.85,4.97,6.92,125.95,63.74,78.26,56.88,18.46,9.0,4.15,119.1,76.46,51.33,20.15,7.08,11.97,105.44,63.83,66.73,47.32,17.92,20.510000000000005,-0.09,11.53,9.56,59.51,36.63
Australian Open,2018,11.87,3.18,105.9,69.38,54.15,19.74,4.44,6.18,119.85,64.69,79.41,56.29,17.08,8.79,4.33,112.54,69.64,47.0,19.59,7.31,12.21,98.59,61.73,66.11,44.97,16.69,21.25999999999999,2.96,13.3,11.32,57.45,33.61
Australian Open,2019,12.1,2.51,111.26,74.21,58.36,21.77,3.15,4.62,125.64,67.31,79.41,60.9,18.69,12.41,3.95,120.64,76.95,54.31,20.82,6.59,11.18,106.26,63.49,69.35,46.56,18.26,19.379999999999995,3.82,10.06,14.34,49.37,29.24
Australian Open,2020,12.64,2.54,101.95,68.08,54.15,18.97,3.56,5.21,116.69,66.73,80.63,57.19,17.41,8.74,3.33,110.36,71.36,48.18,18.62,6.36,10.74,95.62,64.49,66.6,46.06,16.92,21.069999999999993,2.24,14.03,11.13,59.12,32.66
Canada Masters,2001,6.19,3.58,77.55,44.81,33.29,18.35,3.61,5.16,83.61,58.44,74.84,56.28,11.97,5.97,4.16,76.58,42.68,28.97,15.65,4.48,8.1,70.52,55.44,67.79,44.33,11.74,13.090000000000003,3.0,7.05,11.95,50.9,38.91
Canada Masters,2002,8.29,2.29,68.65,41.26,32.16,15.52,2.97,4.16,76.84,60.33,78.9,57.52,11.23,5.29,2.94,72.55,41.68,29.16,14.23,4.45,7.61,64.35,57.38,69.3,44.78,11.13,12.490000000000009,2.95,9.6,12.74,61.05,35.34
