,tourney_name,year,player_tier,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,total_points,l_total_points,return_points_won%,ace%,1stSvWin%,1stSvWin%_difference,2ndSvWin%,2ndSvWin%_difference,bpSaved%_difference,points_percentage,bpFaced%
0,Australian Open,2001,champion,6.57,1.57,86.29,61.57,47.0,13.29,3.0,4.86,9.29,4.86,106.57,65.71,40.43,16.71,9.43,16.0,109.71,83.14,47.9,41.42,76.34,14.81,53.76,12.86,2.79,56.89,23.3
1,Australian Open,2001,top2-8,8.34,4.12,103.72,61.34,47.16,23.38,4.09,6.38,8.53,5.09,109.12,60.28,40.75,21.62,6.56,12.16,117.28,95.56,43.36,49.44,76.88,9.28,55.17,10.9,10.16,55.1,34.41
2,Australian Open,2002,champion,17.0,4.14,109.57,60.0,48.86,26.29,2.86,5.43,9.0,3.43,124.0,78.14,52.71,21.71,9.0,14.14,124.71,108.86,40.62,65.38,81.43,13.97,53.04,5.7,-10.98,53.39,27.75
3,Australian Open,2002,top2-8,10.88,3.25,111.81,63.34,46.66,26.5,5.0,7.84,7.94,5.22,118.94,67.81,44.53,23.0,7.66,13.59,124.56,106.19,44.6,57.81,73.67,8.0,54.67,9.69,7.42,53.98,36.58
4,Australian Open,2003,champion,4.57,1.86,73.0,49.29,36.29,13.0,4.0,5.29,4.71,3.29,84.71,45.86,26.29,15.29,6.0,12.86,92.43,65.29,52.11,49.25,73.63,16.3,54.83,15.47,28.95,58.6,29.15
5,Australian Open,2003,top2-8,9.35,3.16,106.77,62.65,47.68,24.23,4.03,6.84,6.68,4.77,117.29,69.0,45.03,22.06,7.45,13.45,122.1,101.97,44.25,58.33,76.11,10.85,54.92,9.24,3.53,54.49,33.71
6,Australian Open,2004,champion,10.86,2.57,89.43,53.86,42.29,20.29,3.29,4.29,4.0,2.57,94.57,56.86,36.29,17.71,6.71,11.86,103.14,80.86,43.78,73.08,78.52,14.7,57.04,10.08,20.11,56.05,26.56
7,Australian Open,2004,top2-8,10.53,2.16,96.59,56.0,44.22,22.22,4.12,5.72,5.69,4.19,100.78,62.09,40.97,17.06,5.44,10.75,109.19,88.19,44.13,64.92,78.96,12.98,54.74,10.65,21.43,55.32,34.73
8,Australian Open,2005,champion,14.14,1.0,108.43,63.0,49.43,26.0,3.43,5.43,6.14,4.43,118.86,67.57,47.14,23.29,6.57,11.43,123.86,103.43,44.21,69.72,78.46,8.7,57.23,11.82,5.69,54.49,32.21
9,Australian Open,2005,top2-8,9.72,3.28,100.53,62.41,47.53,20.59,4.72,6.94,7.09,4.28,109.22,65.38,41.16,19.94,7.5,13.44,116.25,93.5,44.72,57.82,76.16,13.2,54.01,8.53,12.21,55.42,34.05
10,Australian Open,2006,champion,7.29,2.14,104.57,64.0,48.29,23.57,3.71,5.43,5.86,3.57,111.14,69.43,45.86,17.14,6.86,12.57,120.0,95.71,44.35,55.44,75.45,9.4,58.1,17.01,13.75,55.63,30.17
11,Australian Open,2006,top2-8,7.12,3.19,112.03,64.09,46.09,26.66,5.41,8.72,7.38,5.34,117.78,69.03,44.16,21.84,7.44,14.03,124.53,105.28,44.8,49.1,71.91,7.94,55.61,10.81,9.01,54.19,38.33
