tourney_name,surface,match_num,winner_seed,winner_name,winner_ht,winner_ioc,winner_age,loser_seed,loser_name,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,year
Australian Open,Hard,8,15.0,Arnaud Clement,173.0,FRA,23.0800821355,,Tommy Robredo,180.0,ESP,18.7104722793,6-3 6-2 7-5,5,R128,104.0,3.0,1.0,82.0,56.0,42.0,14.0,14.0,2.0,4.0,2.0,4.0,84.0,46.0,28.0,18.0,15.0,6.0,12.0,2001
Australian Open,Hard,16,4.0,Yevgeny Kafelnikov,190.0,RUS,26.9075975359,,Jens Knippschild,190.0,GER,25.916495551,6-1 6-4 6-2,5,R128,92.0,8.0,5.0,90.0,41.0,31.0,30.0,12.0,8.0,9.0,7.0,1.0,81.0,36.0,24.0,15.0,13.0,6.0,12.0,2001
Australian Open,Hard,24,16.0,Sebastien Grosjean,175.0,FRA,22.6338124572,,Ivan Ljubicic,193.0,CRO,21.8288843258,6-0 7-6(6) 6-4,5,R128,116.0,6.0,0.0,76.0,46.0,37.0,22.0,14.0,2.0,3.0,10.0,2.0,110.0,61.0,40.0,20.0,14.0,5.0,10.0,2001
Australian Open,Hard,29,,Carlos Moya,190.0,ESP,24.386036961,,Marcelo Rios,175.0,CHI,25.0568104038,6-3 6-3 6-2,5,R128,112.0,7.0,0.0,80.0,40.0,32.0,22.0,13.0,5.0,7.0,2.0,3.0,93.0,52.0,33.0,14.0,13.0,11.0,18.0,2001
Australian Open,Hard,33,6.0,Andre Agassi,180.0,USA,30.7159479808,,Jiri Vanek,185.0,CZE,22.7296372348,6-0 7-5 6-3,5,R128,100.0,7.0,1.0,82.0,60.0,45.0,13.0,14.0,4.0,5.0,12.0,5.0,110.0,58.0,35.0,20.0,13.0,13.0,20.0,2001
Australian Open,Hard,44,,Todd Martin,198.0,USA,30.5242984257,,Byron Black,175.0,ZIM,31.2772073922,7-5 6-4 6-3,5,R128,112.0,10.0,5.0,105.0,69.0,58.0,16.0,16.0,6.0,8.0,1.0,5.0,101.0,58.0,36.0,17.0,15.0,7.0,12.0,2001
Australian Open,Hard,56,12.0,Patrick Rafter,185.0,AUS,28.0492813142,,Scott Draper,178.0,AUS,26.6146475017,6-3 6-2 7-5,5,R128,88.0,8.0,3.0,78.0,58.0,50.0,12.0,14.0,3.0,3.0,12.0,2.0,79.0,47.0,34.0,16.0,15.0,3.0,7.0,2001
Australian Open,Hard,57,14.0,Dominik Hrbaty,183.0,SVK,23.0308008214,,Jean Rene Lisnard,173.0,MON,21.3086926762,3-6 3-6 6-4 6-1 6-1,5,R128,154.0,3.0,12.0,122.0,72.0,53.0,20.0,21.0,6.0,13.0,3.0,6.0,127.0,66.0,36.0,27.0,21.0,8.0,18.0,2001
Australian Open,Hard,68,15.0,Arnaud Clement,173.0,FRA,23.0800821355,,Alberto Martin,175.0,ESP,22.4065708419,6-2 6-1 6-1,5,R64,94.0,6.0,3.0,56.0,31.0,28.0,16.0,11.0,0.0,0.0,1.0,7.0,83.0,42.0,20.0,18.0,11.0,5.0,12.0,2001
Australian Open,Hard,72,4.0,Yevgeny Kafelnikov,190.0,RUS,26.9075975359,,Nicolas Kiefer,183.0,GER,23.5318275154,6-2 3-6 3-6 6-3 6-0,5,R64,187.0,4.0,5.0,127.0,71.0,46.0,32.0,20.0,5.0,11.0,12.0,8.0,130.0,55.0,36.0,31.0,21.0,9.0,18.0,2001
